dur trials PSE lCIPSE uCIPSE sigma lCI_sig uCI_sig ly uy
-250 NA 0.211887399426768 0.113452309206604 0.310631114945481 1.01597230389388 0.921137491638175 1.12226573163972 0.0984350902201644 0.0987437155187126
-200 NA 0.259814120404753 0.1943935495585 0.324125492775419 0.996926360591006 0.934269258056806 1.06211370012489 0.0654205708462534 0.0643113723706663
-150 NA 0.193425818675053 0.132596958572786 0.256625015633993 0.974052265126457 0.914601792528654 1.04438237259655 0.0608288601022671 0.0631991969589396
-100 NA 0.125996428430937 0.0621287342030215 0.189470064211514 1.00665637713388 0.942108863801686 1.07669483947844 0.0638676942279159 0.0634736357805771
-50 NA 0.0132285050454259 -0.0498796673661729 0.0776351129834191 0.909281439132458 0.846109444515455 0.973648452479929 0.0631081724115987 0.0644066079379932
0 NA -0.038424417833673 -0.104286542337648 0.0253992817194451 0.972142540939891 0.90727770349998 1.03687066812853 0.0658621245039751 0.0638236995531181
49.9999999999998 NA -0.0756418552041259 -0.137743283102291 -0.00932213794886242 0.959234685157968 0.898524232172395 1.02376791553442 0.0621014278981649 0.0663197172552635
100 NA -0.0632818627795693 -0.128491340456408 -0.000972123284091165 0.963216224973098 0.898256399195686 1.02967977565528 0.0652094776768383 0.0623097394954781
150 NA -0.166498978193668 -0.226809184547026 -0.10530823726587 0.918974319640203 0.862980119589169 0.981609137670076 0.0603102063533577 0.0611907409277978
200 NA -0.257823839848614 -0.321481327375692 -0.193062672933314 0.910544450555025 0.850687823697699 0.976646017082308 0.0636574875270787 0.0647611669152994
250 NA -0.246592446338809 -0.33666103968443 -0.157567851184064 0.978510125223714 0.887979588419063 1.07328506750521 0.0900685933456201 0.0890245951547452
